Season,TeamID,TeamName,AdjO,AdjD,Tempo,Rating,Seed,SOS
2009,89,Pittsburgh,121.48,92.002,64.7792,29.4777,1,32.564
2009,90,Oklahoma St.,115.065,97.2997,69.1545,17.7655,8,33.197
2009,91,Oklahoma,117.928,94.6403,66.283,23.2882,2,29.932
2009,92,Ohio St.,113.731,97.2667,61.9585,16.4647,8,32.583
2009,93,Northern Iowa,110.659,100.806,60.1385,9.85203,12,18.798
2009,94,North Dakota St.,113.637,101.211,66.9142,12.4256,14,12.589
2009,95,North Carolina,122.645,94.0872,72.454,28.5574,1,28.827
2009,96,Morgan St.,99.986,98.5712,64.8231,1.41474,15,12.038
2009,97,Morehead St.,102.308,102.325,64.5465,-0.01708,16,13.25
2009,98,Missouri,114.53,91.046,69.8579,23.484,3,27.671
2009,99,Mississippi St.,107.733,95.9223,66.7566,11.8111,13,22.65
2009,100,Minnesota,107.586,91.8263,63.7652,15.7592,10,29.811
2009,101,Michigan St.,112.732,89.9494,65.9592,22.7829,2,32.393
2009,102,Michigan,112.016,97.5173,62.0992,14.4984,10,34.356
2009,103,Memphis,110.759,81.3187,64.5834,29.4398,2,22.225
2009,104,Maryland,108.705,95.4167,65.5865,13.2883,10,31.613
2009,105,Marquette,117.058,96.076,67.198,20.9824,6,29.86
2009,106,LSU,110.576,95.8662,65.4797,14.7097,8,21.393
2009,107,Louisville,109.217,83.849,66.967,25.3676,1,31.05
2009,108,Kansas,114.807,91.6765,66.4233,23.1309,3,30.532
2009,109,Illinois,106.425,87.3285,61.8419,19.0963,5,30.507
2009,110,Gonzaga,116.862,90.9086,66.4288,25.9534,4,24.529
2009,111,Florida St.,105.685,89.7283,65.4367,15.9569,5,32.5
2009,112,East Tennessee St.,106.255,101.161,68.8103,5.09407,16,8.955
2009,113,Duke,117.869,92.541,65.5211,25.3284,2,31.839
2009,114,Dayton,103.115,93.6967,63.8365,9.41849,11,18.192
2009,115,Cornell,108.108,102.611,65.0003,5.49712,14,11.397
2009,116,Connecticut,114.597,86.5571,65.5863,28.0401,1,32.844
2009,117,Cleveland St.,104.438,92.7341,63.1428,11.7042,13,20.688
2009,118,Clemson,116.758,96.4646,67.3639,20.2938,7,26.706
2009,119,Chattanooga,104.271,108.116,68.6926,-3.84568,16,16.373
2009,120,California,116.839,98.6172,65.2261,18.2213,7,32.972
2009,121,Cal St. Northridge,101.374,96.2591,71.325,5.11477,15,16.261
2009,122,BYU,114.296,92.6399,68.4554,21.6562,8,22.349
2009,123,Butler,109.777,93.6264,61.9683,16.1506,9,18.098
2009,124,Boston College,113.378,101.263,64.7471,12.1159,7,26.908
2009,125,Binghamton,101.747,102.618,66.5996,-0.87142,15,8.089
2009,126,Arizona St.,117.682,94.244,58.5891,23.4381,6,32.67
2009,127,Arizona,117.23,101.217,63.6396,16.0133,12,33.867
2009,128,American,104.705,100.204,59.7892,4.50143,14,11.588
2009,130,Akron,102.057,95.0743,64.5005,6.9826,13,14.565
2010,131,Xavier,114.769,94.9437,68.8639,19.8256,6,27.451
2010,132,Wofford,104.267,94.8414,63.1377,9.42513,13,14.561
2010,133,Wisconsin,115.399,89.8348,58.6587,25.564,4,31.074
2010,135,West Virginia,117.329,91.5966,62.3139,25.7322,2,34.312
2010,136,Washington,111.513,93.6021,71.3389,17.9107,11,24.044
2010,137,Wake Forest,106.69,91.7943,68.4678,14.8954,9,30.998
2010,138,Villanova,118.572,95.5965,71.172,22.9755,2,33.157
2010,139,Vermont,103.697,100.573,65.8979,3.12414,16,8.712
2010,140,Vanderbilt,113.609,96.0838,68.4945,17.5253,4,29.018
2010,141,UTEP,107.504,89.9248,67.4737,17.5793,12,19.818
2010,142,Utah St.,116.361,95.0722,59.4224,21.2893,12,15.1
2010,143,UNLV,109.859,92.6156,65.9121,17.2431,8,22.024
2010,144,UC Santa Barbara,100.038,97.6604,66.0756,2.37748,15,13.504
2010,145,Texas A&M,112.093,91.9447,64.0152,20.1487,5,35.891
2010,146,Texas,113.444,92.8117,71.1683,20.6323,8,31.848
2010,147,Tennessee,106.604,89.2115,67.6684,17.3928,6,29.253
2010,148,Temple,107.306,86.2797,59.9751,21.0266,5,23.817
2010,149,Syracuse,118.167,90.5783,68.6909,27.5886,1,28.835
2010,150,Siena,109.569,95.6534,68.3596,13.9156,13,16.852
2010,151,San Diego St.,111.49,94.1721,62.9348,17.3175,11,24.05
2010,152,Sam Houston St.,110.763,103.694,68.6965,7.06873,14,12.73
2010,153,Saint Mary's,116.442,97.0364,66.3664,19.4058,10,17.876
2010,154,Robert Morris,99.6218,101.452,65.7182,-1.83054,15,10.542
2010,155,Richmond,108.108,92.8809,62.1031,15.2274,7,24.758
2010,156,Purdue,110.762,88.1665,65.4793,22.5959,4,29.198
2010,157,Pittsburgh,111.307,92.5315,60.3262,18.7753,3,29.605
2010,158,Old Dominion,107.842,90.1999,62.4677,17.6423,11,20.316
2010,159,Oklahoma St.,111.497,94.9637,66.2045,16.5333,7,30.206
2010,160,Ohio St.,117.429,91.9581,64.023,25.4713,2,30.606
2010,161,Ohio,105.808,98.4546,68.1933,7.35379,14,13.908
2010,162,Oakland,107.635,103.917,68.5659,3.71824,14,18.062
2010,163,Notre Dame,119.809,101.439,62.3372,18.3693,6,27.053
2010,164,Northern Iowa,108.029,89.7638,58.576,18.2648,9,18.366
2010,165,North Texas,102.939,103.298,67.1128,-0.35881,15,10.93
2010,166,New Mexico St.,111.342,105.22,70.1148,6.12172,12,21.528
2010,167,New Mexico,114.142,96.7568,67.1887,17.3849,3,21.234
2010,168,Murray St.,108.952,94.3666,65.5723,14.5856,13,9.836
2010,169,Morgan St.,105.657,103.75,68.151,1.90682,15,11.49
2010,170,Montana,106.707,98.1992,61.6822,8.50753,14,11.471
2010,171,Missouri,110.105,90.4261,68.6097,19.6787,10,29.614
2010,172,Minnesota,112.547,93.7989,65.3869,18.7481,11,30.379
2010,173,Michigan St.,112.268,91.9702,65.5206,20.2975,5,28.984
2010,174,Maryland,117.599,94.8962,68.1243,22.7026,4,30.926
