Season,Slot,Round,Team1,Team2
2024,R1G1,64,Connecticut,Stetson
2024,R1G2,64,Florida Atlantic,Northwestern
2024,R1G3,64,San Diego St.,UAB
2024,R1G4,64,Auburn,Yale
2024,R1G5,64,BYU,Duquesne
2024,R1G6,64,Illinois,Morehead St.
2024,R1G7,64,Washington St.,Drake
2024,R1G8,64,Iowa St.,South Dakota St.
